     0          0.00135297
     1          0.00863504
     2          0.02921976
     3          0.06381670
     4          0.10651886
     5          0.14214078
     6          0.15608364
     7          0.14775136
     8          0.12167907
     9          0.09009398
    10          0.05957172
    11          0.03524347
    12          0.01958496
    13          0.00997540
    14          0.00489466
    15          0.00213511
    16          0.00081998
    17          0.00033745
    18          0.00009146
    19          0.00004731
    20          0.00000631
