0   0 
1   5 
2   9 
3   15 
4   19 
5   32 
6   32 
7   64 
8   122 
9   233 
10   386 
11   608 
12   1031 
13   1809 
14   3089 
15   4972 
16   8156 
17   13508 
18   21474 
19   34436 
20   54182 
21   81568 
22   116832 
23   156391 
24   194482 
25   226361 
26   249366 
27   264833 
28   274846 
29   281161 
30   284963 
31   287610 
32   289406 
33   290381 
34   291253 
35   291920 
36   292245 
37   292228 
38   292819 
39   293007 
40   292916 
41   293179 
42   293289 
43   293250 
44   293373 
45   293414 
46   293413 
47   293544 
48   293503 
49   293714 
50   293642 
51   293698 
52   293793 
53   293668 
54   293379 
55   293540 
56   293993 
57   293679 
58   293562 
59   293799 
60   293739 
61   293842 
62   293916 
63   293590 
64   293336 
65   293633 
66   293799 
67   293736 
68   293846 
69   293984 
70   293751 
71   293750 
72   293840 
73   293618 
74   293684 
75   293732 
76   293501 
77   293558 
78   293814 
79   293762 
80   293645 
81   293635 
82   293557 
83   293720 
84   293593 
85   293778 
86   293739 
87   293917 
88   293460 
89   293523 
