0   0 
1   1 
2   1 
3   0 
4   1 
5   1 
6   2 
7   28 
8   37 
9   150 
10   420 
11   857 
12   1722 
13   3702 
14   7907 
15   14975 
16   24785 
17   35342 
18   47430 
19   59461 
20   70802 
21   80970 
22   89358 
23   96063 
24   101576 
25   106252 
26   110052 
27   113049 
28   115667 
29   117543 
30   119109 
31   120781 
32   122035 
33   123158 
34   123807 
35   124812 
36   125355 
37   125975 
38   126419 
39   126930 
40   127475 
41   127479 
42   127942 
43   128245 
44   128368 
45   128534 
46   128599 
47   128833 
48   129000 
49   129010 
50   129238 
51   129182 
52   129216 
53   129461 
54   129372 
55   129436 
56   129556 
57   129521 
58   129440 
59   129673 
60   129459 
61   129640 
62   129763 
63   129877 
64   129658 
65   129551 
66   129797 
67   129596 
68   129814 
69   129641 
70   129795 
71   129861 
72   129657 
73   129789 
74   129809 
75   129843 
76   129738 
77   129667 
78   129748 
79   129662 
80   129918 
81   129830 
82   129709 
83   129780 
84   129618 
85   129704 
86   129892 
87   129600 
88   129812 
89   129676 
