0   0 
1   1 
2   0 
3   1 
4   1 
5   1 
6   1 
7   1 
8   1 
9   1 
10   1 
11   25 
12   205 
13   586 
14   3550 
15   14199 
16   39375 
17   80032 
18   130811 
19   178156 
20   212140 
21   235126 
22   250776 
23   261601 
24   269030 
25   274549 
26   278336 
27   281626 
28   283633 
29   285542 
30   287285 
31   288060 
32   289189 
33   289951 
34   290392 
35   291363 
36   291780 
37   292106 
38   292560 
39   292724 
40   293099 
41   293144 
42   293624 
43   293717 
44   293580 
45   293622 
46   293739 
47   294151 
48   293803 
49   294252 
50   293998 
51   294115 
52   293945 
53   294142 
54   294232 
55   294270 
56   294159 
57   294335 
58   294482 
59   294364 
60   294437 
61   294310 
62   294606 
63   294465 
64   294313 
65   294454 
66   294341 
67   294262 
68   294411 
69   294297 
70   294348 
71   294328 
72   294291 
73   294365 
74   294277 
75   294435 
76   294511 
77   294304 
78   294360 
79   294565 
80   294541 
81   294394 
82   294431 
83   294403 
84   294423 
85   294465 
86   294279 
87   294329 
88   294817 
89   294544 
