0   0 
1   1 
2   1 
3   1 
4   1 
5   1 
6   1 
7   1 
8   1 
9   1 
10   6 
11   7 
12   7 
13   12 
14   14 
15   14 
16   15 
17   15 
18   15 
19   20 
20   27 
21   27 
22   24 
23   28 
24   32 
25   50 
26   71 
27   101 
28   146 
29   190 
30   250 
31   339 
32   459 
33   570 
34   714 
35   944 
36   1167 
37   1490 
38   1889 
39   2407 
40   3008 
41   3841 
42   4872 
43   6228 
44   7819 
45   9704 
46   12115 
47   15031 
48   18469 
49   22639 
50   27329 
51   32866 
52   39159 
53   46076 
54   53372 
55   60970 
56   68635 
57   76299 
58   83754 
59   90601 
60   96852 
61   102638 
62   107488 
63   111916 
64   115726 
65   119015 
66   121863 
67   124218 
68   126138 
69   127872 
70   129235 
71   130369 
72   131279 
73   132290 
74   133344 
75   133953 
76   134362 
77   134688 
78   135441 
79   135720 
80   136142 
81   136341 
82   136484 
83   136940 
84   136837 
85   137262 
86   137327 
87   137396 
88   137816 
89   137571 
